#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

unload|Always {{c1::unload}} your gun before cleaning it.|Always unload your gun before cleaning it.|清洁枪支前务必先卸下弹药。|To remove ammunition from a firearm.|从枪械中取出弹药。|unload|verb|empty, discharge, clear|load, charge
unload|The company decided to {{c1::unload}} its unprofitable assets.|The company decided to unload its unprofitable assets.|公司决定抛售其无利可图的资产。|To dispose of or sell something unwanted, typically quickly and at a low price.|处理或出售不需要的东西，通常是快速且低价出售。|unload|verb|sell off, dispose of, get rid of, dump|acquire, buy, purchase
unloaded|She {{c1::unloaded}} her worries onto her best friend.|She unloaded her worries onto her best friend.|她向最好的朋友倾诉了自己的忧虑。|To relieve oneself of a mental burden by talking about it.|通过谈论来减轻心理负担。|unload|verb|vent, express, pour out, confide|suppress, bottle up
conversion|The {{c1::conversion}} of water into steam requires energy.|The conversion of water into steam requires energy.|水转化为蒸汽需要能量。|The process of changing or causing something to change from one form, state, or activity to another.|使某物从一种形式、状态或活动转变为另一种的过程。|conversion|noun|transformation, change, alteration, modification|preservation, retention
conversion|His {{c1::conversion}} to Buddhism occurred after his trip to Tibet.|His conversion to Buddhism occurred after his trip to Tibet.|他去西藏旅行后皈依了佛教。|The act of changing one's religion or beliefs.|改变宗教信仰或信念的行为。|conversion|noun|adoption, embracing, acceptance|apostasy, rejection
conversion|The kicker successfully made the {{c1::conversion}} after the touchdown.|The kicker successfully made the conversion after the touchdown.|在达阵后，踢球手成功完成了附加得分。|In sports, the act of scoring an additional point or points after a try, touchdown, or goal.|在体育中，在达阵、触地得分或进球后得到额外分数的行为。|conversion|noun|extra point, point after, PAT|
conversion|He was charged with {{c1::conversion}} of company funds for personal use.|He was charged with conversion of company funds for personal use.|他被指控挪用公司资金作个人用途。|The illegal act of appropriating property belonging to someone else for one's own use.|非法占用他人财产供自己使用的行为。|conversion|noun|misappropriation, embezzlement, theft|
irrelevant|His comments were completely {{c1::irrelevant}} to the discussion.|His comments were completely irrelevant to the discussion.|他的评论与讨论完全无关。|Not connected with or relevant to something.|与某事物无关或不相关的。|irrelevant|adjective|immaterial, unrelated, not pertinent, beside the point|relevant, pertinent, applicable, germane
irrelevant|The candidate's personal life is {{c1::irrelevant}} to his ability to do the job.|The candidate's personal life is irrelevant to his ability to do the job.|候选人的个人生活与他完成工作的能力无关。|Not important or significant in a particular context.|在特定环境中不重要或不显著的。|irrelevant|adjective|unimportant, insignificant, inconsequential, trivial|important, significant, crucial, vital
thrill|The {{c1::thrill}} of skydiving is incomparable to any other experience.|The thrill of skydiving is incomparable to any other experience.|跳伞的刺激感与任何其他体验都无法相比。|A sudden feeling of excitement and pleasure.|突然的兴奋和愉悦感。|thrill|noun|excitement, exhilaration, buzz, rush|boredom, tedium, dullness
thrill|Riding the roller coaster was a real {{c1::thrill}} for the children.|Riding the roller coaster was a real thrill for the children.|坐过山车对孩子们来说是一种真正的刺激体验。|An experience that produces a sudden feeling of excitement and pleasure.|产生突然兴奋和愉悦感的体验。|thrill|noun|adventure, experience, sensation|
thrilled|The news of her promotion {{c1::thrilled}} her.|The news of her promotion thrilled her.|升职的消息让她非常兴奋。|To cause someone to feel suddenly excited and pleased.|使某人突然感到兴奋和愉悦。|thrill|verb|excite, stimulate, delight, please|bore, disappoint, depress
thrilled|She {{c1::thrilled}} at the prospect of traveling abroad.|She thrilled at the prospect of traveling abroad.|她对出国旅行的前景感到兴奋。|To feel suddenly excited and pleased.|突然感到兴奋和愉悦。|thrill|verb|be excited, be delighted, be elated|be bored, be disappointed
trial|The murder {{c1::trial}} lasted for three weeks.|The murder trial lasted for three weeks.|谋杀案审判持续了三周。|A formal examination of evidence by a judge, typically before a jury, in order to decide guilt in a criminal case.|法官对证据的正式审查，通常在陪审团面前进行，以确定刑事案件中的罪责。|trial|noun|court case, hearing, legal proceeding, lawsuit|
trials|The new drug is undergoing clinical {{c1::trials}}.|The new drug is undergoing clinical trials.|这种新药正在进行临床试验。|A test of the performance, qualities, or suitability of someone or something.|对某人或某物的性能、品质或适用性的测试。|trial|noun|test, experiment, examination, assessment|
trial|Living with a teenager can be a {{c1::trial}} for many parents.|Living with a teenager can be a trial for many parents.|与青少年一起生活对许多父母来说可能是一种考验。|A difficult or annoying experience or situation.|困难或烦人的经历或情况。|trial|noun|ordeal, tribulation, hardship, burden|pleasure, delight, joy
trial|The company is offering a free {{c1::trial}} version of the software.|The company is offering a free trial version of the software.|该公司提供免费的软件试用版。|Denoting a preliminary version of something that is being tested.|表示正在测试的某物的初步版本。|trial|adjective|test, experimental, pilot, sample|final, permanent, established
extolled|The critics {{c1::extolled}} the virtues of the new film.|The critics extolled the virtues of the new film.|评论家们盛赞这部新电影的优点。|To praise enthusiastically.|热情赞扬。|extol|verb|praise, acclaim, commend, laud|criticize, condemn, denounce, disparage
extolled|She {{c1::extolled}} her son's achievements to everyone she met.|She extolled her son's achievements to everyone she met.|她向每个遇到的人都赞扬她儿子的成就。|To speak highly of; to glorify.|高度评价；赞美。|extol|verb|celebrate, glorify, eulogize, exalt|belittle, denigrate, deprecate
albeit|The project was successful, {{c1::albeit}} with some difficulties along the way.|The project was successful, albeit with some difficulties along the way.|这个项目是成功的，尽管过程中遇到了一些困难。|Although; even if; notwithstanding.|虽然；即使；尽管。|albeit|conjunction|although, even though, though, notwithstanding|
albeit|He agreed to help, {{c1::albeit}} reluctantly.|He agreed to help, albeit reluctantly.|他同意帮忙，尽管有些勉强。|Conceding the fact that; even though.|承认事实上；尽管如此。|albeit|conjunction|granted that, conceding that, admitting that|
